rec_movieId,title,genres
6,Heat (1995),Action|Crime|Thriller
132,Jade (1995),Thriller
426,Body Snatchers (1993),Horror|Sci-Fi|Thriller
92,Mary Reilly (1996),Drama|Horror|Thriller
11,"American President, The (1995)",Comedy|Drama|Romance
440,Dave (1993),Comedy|Romance
24,Powder (1995),Drama|Sci-Fi
263,Ladybird Ladybird (1994),Drama
180,Mallrats (1995),Comedy|Romance
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
2248,Say Anything... (1989),Comedy|Drama|Romance
274,Man of the House (1995),Comedy
21,Get Shorty (1995),Comedy|Crime|Thriller
369,Mrs. Parker and the Vicious Circle (1994),Drama
189,Reckless (1995),Comedy|Fantasy
152,"Addiction, The (1995)",Drama|Horror
488,M. Butterfly (1993),Drama|Romance
125,Flirting With Disaster (1996),Comedy
99,Heidi Fleiss: Hollywood Madam (1995),Documentary
458,Geronimo: An American Legend (1993),Drama|Western
553,Tombstone (1993),Action|Drama|Western
613,Jane Eyre (1996),Drama|Romance
201,Three Wishes (1995),Drama|Fantasy
205,Unstrung Heroes (1995),Comedy|Drama
168,First Knight (1995),Action|Drama|Romance
156,Blue in the Face (1995),Comedy|Drama
2321,Pleasantville (1998),Comedy|Drama|Fantasy
509,"Piano, The (1993)",Drama|Romance
208,Waterworld (1995),Action|Adventure|Sci-Fi
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
338,Virtuosity (1995),Action|Sci-Fi|Thriller
110,Braveheart (1995),Action|Drama|War
765,Jack (1996),Comedy|Drama
718,"Visitors, The (Visiteurs, Les) (1993)",Comedy|Fantasy|Sci-Fi
586,Home Alone (1990),Children|Comedy
69,Friday (1995),Comedy
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
102,Mr. Wrong (1996),Comedy
95,Broken Arrow (1996),Action|Adventure|Thriller
179,Mad Love (1995),Drama|Romance
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance
79,"Juror, The (1996)",Drama|Thriller
159,Clockers (1995),Crime|Drama|Mystery
312,Stuart Saves His Family (1995),Comedy
704,"Quest, The (1996)",Action|Adventure
12,Dracula: Dead and Loving It (1995),Comedy|Horror
455,Free Willy (1993),Adventure|Children|Drama
275,Mixed Nuts (1994),Comedy
529,Searching for Bobby Fischer (1993),Drama
1356,Star Trek: First Contact (1996),Action|Adventure|Sci-Fi|Thriller
285,Beyond Bedlam (1993),Drama|Horror
266,Legends of the Fall (1994),Drama|Romance|War|Western
427,Boxing Helena (1993),Drama|Mystery|Romance|Thriller
222,Circle of Friends (1995),Drama|Romance
353,"Crow, The (1994)",Action|Crime|Fantasy|Thriller
122886,Star Wars: Episode VII - The Force Awakens (2015),Action|Adventure|Fantasy|Sci-Fi|IMAX
685,It's My Party (1996),Drama
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
481,Kalifornia (1993),Drama|Thriller
306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
505,North (1994),Comedy
1266,Unforgiven (1992),Drama|Western
255,"Jerky Boys, The (1995)",Comedy
423,Blown Away (1994),Action|Thriller
